"Net Code";"Nom Équipot";"Nombre de Pads";"Nombre de Vias";"Longueur de Via";"Longueur de Segment";"Dist. Pad à Chip";"Longueur Net";
001;"Net-(C1-Pad1)";3;0;0,0000 mm;28,2006 mm;0,0000 mm;28,2006 mm;
002;"GND";21;0;0,0000 mm;298,6810 mm;0,0000 mm;298,6810 mm;
003;"+9V";4;0;0,0000 mm;15,5298 mm;0,0000 mm;15,5298 mm;
004;"+5V";5;1;1,5450 mm;110,4767 mm;0,0000 mm;112,0217 mm;
005;"Net-(D1-Pad2)";2;0;0,0000 mm;8,7160 mm;0,0000 mm;8,7160 mm;
006;"Net-(D1-Pad4)";2;0;0,0000 mm;40,1498 mm;0,0000 mm;40,1498 mm;
007;"Net-(D4-Pad2)";2;0;0,0000 mm;5,8661 mm;0,0000 mm;5,8661 mm;
008;"Net-(D5-Pad2)";2;0;0,0000 mm;5,8781 mm;0,0000 mm;5,8781 mm;
009;"Net-(D6-Pad2)";2;0;0,0000 mm;5,8781 mm;0,0000 mm;5,8781 mm;
010;"Net-(D7-Pad2)";2;0;0,0000 mm;5,8760 mm;0,0000 mm;5,8760 mm;
011;"Net-(D8-Pad2)";2;0;0,0000 mm;5,8781 mm;0,0000 mm;5,8781 mm;
012;"Net-(D9-Pad2)";2;0;0,0000 mm;5,8760 mm;0,0000 mm;5,8760 mm;
013;"Net-(D10-Pad2)";2;0;0,0000 mm;5,8781 mm;0,0000 mm;5,8781 mm;
014;"/R_DCF77";2;0;0,0000 mm;19,5484 mm;0,0000 mm;19,5484 mm;
015;"/S_DCF77";2;0;0,0000 mm;13,0167 mm;0,0000 mm;13,0167 mm;
016;"Net-(D13-Pad2)";2;0;0,0000 mm;5,4669 mm;0,0000 mm;5,4669 mm;
018;"/DCF77";2;0;0,0000 mm;112,5843 mm;0,0000 mm;112,5843 mm;
019;"/cs3";2;4;6,1800 mm;102,3684 mm;0,0000 mm;108,5484 mm;
020;"Net-(R1-Pad2)";3;0;0,0000 mm;16,3973 mm;0,0000 mm;16,3973 mm;
021;"/cs7";2;2;3,0900 mm;65,3990 mm;0,0000 mm;68,4890 mm;
022;"Net-(R2-Pad2)";3;0;0,0000 mm;16,7129 mm;0,0000 mm;16,7129 mm;
023;"/dow0";2;0;0,0000 mm;33,0784 mm;0,0000 mm;33,0784 mm;
024;"/cs2";2;2;3,0900 mm;66,1201 mm;0,0000 mm;69,2101 mm;
025;"Net-(R4-Pad2)";3;0;0,0000 mm;16,3973 mm;0,0000 mm;16,3973 mm;
026;"Net-(R5-Pad1)";3;0;0,0000 mm;16,3973 mm;0,0000 mm;16,3973 mm;
027;"/cs6";2;2;3,0900 mm;51,3628 mm;0,0000 mm;54,4528 mm;
028;"/dow1";2;0;0,0000 mm;17,8766 mm;0,0000 mm;17,8766 mm;
029;"/dow2";2;0;0,0000 mm;10,7646 mm;0,0000 mm;10,7646 mm;
030;"/dow3";2;0;0,0000 mm;8,3445 mm;0,0000 mm;8,3445 mm;
031;"/cs1";2;2;3,0900 mm;50,6640 mm;0,0000 mm;53,7540 mm;
032;"Net-(R9-Pad2)";3;0;0,0000 mm;16,5025 mm;0,0000 mm;16,5025 mm;
033;"/cs5";2;2;3,0900 mm;36,1228 mm;0,0000 mm;39,2128 mm;
034;"Net-(R10-Pad2)";3;0;0,0000 mm;16,6077 mm;0,0000 mm;16,6077 mm;
035;"/dow4";2;0;0,0000 mm;14,1678 mm;0,0000 mm;14,1678 mm;
036;"/dow5";2;0;0,0000 mm;21,5604 mm;0,0000 mm;21,5604 mm;
037;"/dow6";2;0;0,0000 mm;26,9039 mm;0,0000 mm;26,9039 mm;
038;"/cs0";2;2;3,0900 mm;54,4623 mm;0,0000 mm;57,5523 mm;
039;"Net-(R14-Pad2)";3;0;0,0000 mm;16,5025 mm;0,0000 mm;16,5025 mm;
040;"/cs4";2;2;3,0900 mm;21,0879 mm;0,0000 mm;24,1779 mm;
041;"Net-(R15-Pad2)";3;0;0,0000 mm;16,3973 mm;0,0000 mm;16,3973 mm;
042;"//MR";3;0;0,0000 mm;25,5875 mm;0,0000 mm;25,5875 mm;
043;"/TP1";2;1;1,5450 mm;57,1320 mm;0,0000 mm;58,6770 mm;
044;"/TP2";2;1;1,5450 mm;63,0911 mm;0,0000 mm;64,6361 mm;
045;"/TP3";2;1;1,5450 mm;68,0667 mm;0,0000 mm;69,6117 mm;
046;"/DET_DCF77";2;1;1,5450 mm;75,2611 mm;0,0000 mm;76,8061 mm;
054;"/seg0";9;6;9,2700 mm;195,1939 mm;0,0000 mm;204,4639 mm;
055;"/seg1";9;6;9,2700 mm;196,0172 mm;0,0000 mm;205,2872 mm;
056;"/seg2";9;6;9,2700 mm;175,8734 mm;0,0000 mm;185,1434 mm;
057;"/seg3";9;2;3,0900 mm;178,9585 mm;0,0000 mm;182,0485 mm;
058;"/seg4";9;2;3,0900 mm;196,5407 mm;0,0000 mm;199,6307 mm;
059;"/seg5";9;6;9,2700 mm;208,7145 mm;0,0000 mm;217,9845 mm;
060;"/seg6";9;2;3,0900 mm;204,4247 mm;0,0000 mm;207,5147 mm;
061;"/seg7";9;6;9,2700 mm;175,9705 mm;0,0000 mm;185,2405 mm;
062;"Net-(U1-Pad41)";2;0;0,0000 mm;11,1988 mm;0,0000 mm;11,1988 mm;
064;"Net-(U1-Pad43)";2;0;0,0000 mm;2,7631 mm;0,0000 mm;2,7631 mm;
069;"/+9VBATT";2;0;0,0000 mm;23,5240 mm;0,0000 mm;23,5240 mm;
071;"Net-(D11-Pad2)";2;0;0,0000 mm;3,7697 mm;0,0000 mm;3,7697 mm;
072;"Net-(D12-Pad2)";2;0;0,0000 mm;3,6235 mm;0,0000 mm;3,6235 mm;
073;"/CEST";2;2;3,0900 mm;70,8258 mm;0,0000 mm;73,9158 mm;
074;"/CET";2;2;3,0900 mm;83,4184 mm;0,0000 mm;86,5084 mm;
075;"/R_5V";2;0;0,0000 mm;29,9056 mm;0,0000 mm;29,9056 mm;
076;"/S_5V";2;0;0,0000 mm;17,9618 mm;0,0000 mm;17,9618 mm;
077;"Net-(F1-Pad1)";2;0;0,0000 mm;13,0006 mm;0,0000 mm;13,0006 mm;
078;"Net-(F1-Pad2)";2;0;0,0000 mm;10,7071 mm;0,0000 mm;10,7071 mm;
079;"Net-(J2-Pad3)";2;0;0,0000 mm;40,4527 mm;0,0000 mm;40,4527 mm;
